Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Deep brain stimulation for obesity: past, present, and future targets",Dupre D.A.; Tomycz N.; Oh M.Y.; Whiting D. ,"The authors review the history of deep brain stimulation (DBS) in patients for treating obesity, describe current DBS targets in the brain, and discuss potential DBS targets and nontraditional stimulation parameters that may improve the effectiveness of DBS for ameliorating obesity. Deep brain stimulation for treating obesity has been performed both in animals and in humans with intriguing preliminary results. The brain is an attractive target for addressing obesity because modulating brain activity may permit influencing both sides of the energy equation--caloric intake and energy expenditure.",2015,/,Neurosurgical focus,38,6,E7,,https://dx.doi.org/10.3171/2015.3.FOCUS1542,609676976,#1106,Dupre 2015,"",obesity; rev
"Deep brain stimulation for addiction, anorexia and compulsion. Rationale, clinical results and ethical implications",Bartsch C.; Kuhn J. ,"Background. As an established treatment for movement disorders, the application of deep brain stimulation (DBS) for psychiatric indications has been investigated for almost 15 years. A CE label (also FDA approval) has recently been obtained for treatment of refractory obsessive-compulsive disorder (OCD). Objectives. This article aims at illustrating the current state of DBS in the treatment of refractory OCD. In addition, initial experimental approaches to investigate the potential use of DBS in substance addiction and anorexia nervosa (AN) will also be outlined as both disorders share some common features with OCD. Materials and methods. The present review is based on a keyword literature search (PubMed) while taking into account relevant references and own investigations Although the number of clinical trials for treatment of refractory OCD is limited and sample sizes are small, there is some evidence for a substantial improvement, a so-called full response of OCD symptoms under DBS. However, not all patients benefit from the intervention. Regarding substance addiction and AN, data are scarce and are only indicative of a potential benefit at most. Discussion. Present data regarding the clinical benefits of DBS in OCD are encouraging and open up new avenues for the treatment of therapy refractory patients. However, several aspects, such as mechanisms of action, predictors and long-term side effect profiles, are incomplete or even unknown. In the case of addiction and AN, DBS remains purely experimental, at least for the moment. Hence, clinical trials should remain the gold standard for all three indications. © 2014 Springer-Verlag.",2014,/,Nervenarzt,85,2,162-168,,https://dx.doi.org/10.1007/s00115-013-3879-4,52976016,#1107,Bartsch 2014,"",anorexia; rev
Targeting emotion circuits with deep brain stimulation in refractory anorexia nervosa,Lipsman N.; Lozano A.M. ,,2014,/,Neuropsychopharmacology,39,1,250-252,,https://dx.doi.org/10.1038/npp.2013.244,370503992,#1116,Lipsman 2014,"",anorexia; rev
Subcallosal cingulate deep brain stimulation for treatment-refractory anorexia nervosa: A phase 1 pilot trial,Lipsman N.; Woodside D.B.; Giacobbe P.; Hamani C.; Carter J.C.; Norwood S.J.; Sutandar K.; Staab R.; Elias G.; Lyman C.H.; Smith G.S.; Lozano A.M. ,"Background Anorexia nervosa is characterised by a chronic course that is refractory to treatment in many patients and has one of the highest mortality rates of any psychiatric disorder. Deep brain stimulation (DBS) has been applied to circuit-based neuropsychiatric diseases, such as Parkinson's disease and major depression, with promising results. We aimed to assess the safety of DBS to modulate the activity of limbic circuits and to examine how this might aff ect the clinical features of anorexia nervosa. Methods We did a phase 1, prospective trial of subcallosal cingulate DBS in six patients with chronic, severe, and treatment-refractory anorexia nervosa. Eligible patients were aged 20-60 years, had been diagnosed with restricting or binge-purging anorexia nervosa, and showed evidence of chronicity or treatment resistance. Patients underwent medical optimisation preoperatively and had baseline body-mass index (BMI), psychometric, and neuroimaging investigations, followed by implantation of electrodes and pulse generators for continuous delivery of electrical stimulation. Patients were followed up for 9 months after DBS activation, and the primary outcome of adverse events associated with surgery or stimulation was monitored at every follow-up visit. Repeat psychometric assessments, BMI measurements, and neuroimaging investigations were also done at various intervals. This trial is registered with ClinicalTrials.gov, number NCT01476540. Findings DBS was associated with several adverse events, only one of which (seizure during programming, roughly 2 weeks after surgery) was serious. Other related adverse events were panic attack during surgery, nausea, air embolus, and pain. After 9 months, three of the six patients had achieved and maintained a BMI greater than their historical baselines. DBS was associated with improvements in mood, anxiety, aff ective regulation, and anorexia nervosa-related obsessions and compulsions in four patients and with improvements in quality of life in three patients after 6 months of stimulation. These clinical benefi ts were accompanied by changes in cerebral glucose metabolism (seen in a comparison of composite PET scans at baseline and 6 months) that were consistent with a reversal of the abnormalities seen in the anterior cingulate, insula, and parietal lobe in the disorder. Interpretation Subcallosal cingulate DBS seems to be generally safe in this sample of patients with chronic and treatment-refractory anorexia nervosa.",2013,/,The Lancet,381,9875,1361-1370,,https://dx.doi.org/10.1016/S0140-6736%2812%2962188-6,52475931,#1122,Lipsman 2013,"",anorexia
Metabolic imaging of deep brain stimulation in anorexia nervosa: A 18F-FDG PET/CT study,Zhang H.-W.; Li D.-Y.; Zhao J.; Guan Y.-H.; Sun B.-M.; Zuo C.-T. ,"OBJECTIVES: Anorexia nervosa (AN), a disorder of unknown etiology, has the highest mortality rate of any psychiatric disorder. Drawing the brain metabolic pattern of AN may help to target the core biological and psychological features of the disorder and to perfect the diagnosis and recovery criteria. In this study, we used F-FDG PET to show brain metabolic network for AN. METHOD(S): Glucose metabolism in 6 AN patients and 12 age-matched healthy controls was studied using F-FDG PET. SPM2 was used to compare brain metabolism in AN patients with that in healthy controls. Four of 6 AN patients took deep brain stimulation (DBS) targeted in nucleus accumbens (NAcc). About 3 to 6 months after the surgery, the 4 AN patients took another F-FDG PET scan to assess the change in brain glucose metabolism. RESULT(S): The SPM (statistical parametric mapping ) analysis showed hypermetabolism in the frontal lobe (bilateral, BA10, BA11, BA47), the limbic lobe (bilateral, hippocampus, and amygdala), lentiform nucleus (bilateral), left insula (BA13), and left subcallosal gyrus (BA25). It also showed hypometabolism in the parietal lobe (bilateral, BA7, BA40). The hypermetabolism in frontal lobe, hippocampus, and lentiform nucleus decreased after NAcc-DBS. CONCLUSION(S): The changes in brain glucose metabolism illustrated the brain metabolic pattern in AN patients. Furthermore, the pattern can be modulated by NAcc-DBS, which confirmed specificity of the pattern. The regions with altered metabolism could interconnect to form a network and integrate information related to appetite. Our study may provide information for targeting the potential candidate brain regions for understanding the pathophysiology of AN and assessing the effects of existing and future treatment approaches. Copyright © 2013 by Lippincott Williams & Wilkins.",2013,/,Clinical Nuclear Medicine,38,12,943-948,,https://dx.doi.org/10.1097/RLU.0000000000000261,52860858,#1128,Zhang 2013,"",anorexia; non_outcome
Deep brain stimulation for anorexia nervosa: A step forward,Treasure J.; Ashkan K. ,,2013,/,European Eating Disorders Review,21,6,507-508,,https://dx.doi.org/10.1002/erv.2253,52814746,#1132,Treasure 2013,"",anorexia; rev
Neuromodulation techniques and eating disorders,Van Den Eynde F.; Guillaume S. ,,2013,/,International Journal of Eating Disorders,46,5,447-450,,https://dx.doi.org/10.1002/eat.22100,368904916,#1134,VanDenEynde 2013,"",anorexia; non_specific; obesity; rev
Stereotactic surgery for eating disorders,Sun B.; Liu W. ,"Eating disorders (EDs) are a group of severely impaired eating behaviors, which include three subgroups: anorexia nervosa (AN), bulimia nervosa (BN), and ED not otherwise specified (EDNOS). The precise mechanism of EDs is still unclear and the disorders cause remarkable agony for the patients and their families. Although there are many available treatment methods for EDs today, such as family therapy, cognitive behavioral therapy, medication, psychotherapy, and so on, almost half of the patients are refractory to all current medical treatment and never fully recover. For treatment-refractory EDs, stereotactic surgery may be an alternative therapy. This review discusses the history of stereotactic surgery, the modern procedures, and the mostly used targets of stereotactic surgery in EDs. In spite of the limited application of stereotactic surgery in ED nowadays, stereotactic lesion and deep brain stimulation (DBS) are promising treatments with the development of modern functional imaging techniques and the increasing understanding of its mechanism in the future. © 2013 Sun B.",2013,/,Surgical Neurology International,4,SUPPL.3,S164-S169,,https://dx.doi.org/10.4103/2152-7806.110668,368954536,#1136,Sun 2013,"",anorexia; non_specific; rev
Treatment of intractable anorexia nervosa with inactivation of the nucleus accumbens using stereotactic surgery,Wang J.; Chang C.; Geng N.; Wang X.; Gao G. ,"Background: For 30% of anorexia nervosa (AN) patients, conventional treatments are unsuccessful; this is termed intractable AN. Objective(s): This study investigates whether ablation of the nucleus accumbens (NAc) using stereotactic surgery can arouse the physiological drive to eat in intractable AN patients. Method(s): Eight patients with intractable AN were included: 6 patients underwent bilateral stereotactic radio frequency ablation in the NAc and 2 patients received bilateral NAc deep brain stimulation (DBS). Observations were made for basic vital signs, body mass index (BMI), menstruation, depression, anxiety, obsessive-compulsive disorder, personality, intelligence, memory, quality of life, social functioning, as well as complications and adverse events associated with the treatment. Result(s): Basic vital signs, BMI and menstruation had recovered 1 year after the operation. Depression, anxiety and obsessive-compulsive disorder were improved 1 year postoperatively. There were changes in personality scores for psychoticism, neuroticism and lie tendencies that seemed to be helpful to the recovery from AN. Intelligence and memory improved after 6 months postoperatively. Quality of life and social functioning were dramatically improved at 1 year postoperatively. Conclusion(s): The results of this study reveal that ablation of the NAc can increase the AN patients' physiological drive to eat. Furthermore, there were no severe and/or life-influencing complications associated with the treatment.Copyright © 2013 S. Karger AG, Basel.",2013,/,Stereotactic and Functional Neurosurgery,91,6,364-372,,https://dx.doi.org/10.1159/000348278,603958551,#1139,Wang 2013,"",anorexia; non_specific
Not too much reason for excitement: Deep brain stimulation for anorexia nervosa,De Zwaan M.; Schlaepfer T.E. ,,2013,/,European Eating Disorders Review,21,6,509-511,,https://dx.doi.org/10.1002/erv.2258,52777669,#1142,DeZwaan 2013,"",anorexia; rev
"Lateral hypothalamic area deep brain stimulation for refractory obesity: A pilot study with preliminary data on safety, body weight, and energy metabolism: Clinical article",Whiting D.M.; Tomycz N.D.; Bailes J.; De Jonge L.; Lecoultre V.; Wilent B.; Alcindor D.; Prostko E.R.; Cheng B.C.; Angle C.; Cantella D.; Whiting B.B.; Mizes J.S.; Finnis K.W.; Ravussin E.; Oh M.Y. ,"Object. Deep brain stimulation (DBS) of the lateral hypothalamic area (LHA) has been suggested as a potential treatment for intractable obesity. The authors present the 2-year safety results as well as early efficacy and metabolic effects in 3 patients undergoing bilateral LHA DBS in the first study of this approach in humans. Methods. Three patients meeting strict criteria for intractable obesity, including failed bariatric surgery, underwent bilateral implantation of LHA DBS electrodes as part of an institutional review board- and FDA-approved pilot study. The primary focus of the study was safety; however, the authors also received approval to collect data on early efficacy including weight change and energy metabolism. Results. No serious adverse effects, including detrimental psychological consequences, were observed with continuous LHA DBS after a mean follow-up of 35 months (range 30-39 months). Three-dimensional nonlinear transformation of postoperative imaging superimposed onto brain atlas anatomy was used to confirm and study DBS contact proximity to the LHA. No significant weight loss trends were seen when DBS was programmed using standard settings derived from movement disorder DBS surgery. However, promising weight loss trends have been observed when monopolar DBS stimulation has been applied via specific contacts found to increase the resting metabolic rate measured in a respiratory chamber. Conclusions. Deep brain stimulation of the LHA may be applied safely to humans with intractable obesity. Early evidence for some weight loss under metabolically optimized settings provides the first 'proof of principle' for this novel antiobesity strategy. A larger follow-up study focused on efficacy along with a more rigorous metabolic analysis is planned to further explore the benefits and therapeutic mechanism behind this investigational therapy. © AANS, 2013.",2013,/,Journal of Neurosurgery,119,1,56-63,,https://dx.doi.org/10.3171/2013.2.JNS12903,369278711,#1143,Whiting 2013,"",obesity
Deep brain stimulation and obesity,Eskandar E. ,,2013,/,Journal of Neurosurgery,119,1,54,,https://dx.doi.org/10.3171/2012.11.JNS121486,369278709,#1145,Eskandar 2013,"",obesity; rev
Six women pilot deep brain stimulation for intractable anorexia nervosa,Anonymous.,,2013,/,BMJ (Clinical research ed.),346,,f1566,,https://dx.doi.org/10.1136/bmj.f1566,368853737,#1147,Anonymous 2013,"",anorexia; rev
Evaluating the potential of deep brain stimulation for treatment-resistant anorexia nervosa,Lipsman N.; Woodside B.; Lozano A.M. ,"Anorexia nervosa is a chronic and debilitating psychiatric disorder associated with one of the highest mortality rates of any psychiatric condition. Despite advances in neuroimaging, genetics, pharmacology, and psychosocial interventions in the last half-century, little progress has been made in altering the natural history of the condition or its outcomes. Evidence is now emerging that the condition is, at least in part, maintained by dysfunctional activity in key neuroanatomic circuits subserving illness-maintaining symptoms. Abnormal reward processing, compulsive hyperactivity, chronic anxiety, and depression, all suggest that anorexia nervosa shares much in common with other conditions, such as major depression and obsessive-compulsive disorder, for which surgical therapy with deep brain stimulation (DBS) has been tried, with promising results. As a result, the use of DBS in treatment-resistant anorexia nervosa should be evaluated in carefully designed, early-phase feasibility trials. © 2013 Elsevier B.V.",2013,/,Handbook of Clinical Neurology,116,"(Lipsman, Lozano) Division of Neurosurgery, Toronto Western Hospital, University of Toronto, Toronto, Canada(Woodside) Department of Psychiatry, Toronto General Hospital, University of Toronto, Toronto, Canada",271-276,,https://dx.doi.org/10.1016/B978-0-444-53497-2.00022-X,1369981093,#1148,Lipsman 2013,"",anorexia; rev
Deep Brain Stimulation in the Subgenual Cingulate Cortex for an Intractable Eating Disorder,Israel M.; Steiger H.; Kolivakis T.; McGregor L.; Sadikot A.F. ,,2010,/,Biological Psychiatry,67,9,e53-e54,,https://dx.doi.org/10.1016/j.biopsych.2009.11.016,50748722,#1190,Israel 2010,"",anorexia; rev
